cui	drugbank_id
C0126174	DB00678
C4255969	DB00678
C0039943	DB00679
C0079856	DB00680
C0591466	DB00680
C0729179	DB00680
C0002679	DB00681
C1145701	DB00681
C0043031	DB00682
C4292380	DB00682
C0013050	DB00683
C0026056	DB00683
C4255964	DB00683
C0040341	DB00684
C0701393	DB00684
C0723768	DB00684
C0379881	DB00685
C0030888	DB00686
C0600296	DB00686
C0016280	DB00687
C0073635	DB00688
C0209368	DB00688
C0592558	DB00688
C0007721	DB00689
C0016375	DB00690
C4255963	DB00690
C0066685	DB00691
C0724120	DB00691
C0724125	DB00691
C0031448	DB00692
C0136603	DB00692
C0592077	DB00692
C0733398	DB00692
C4255962	DB00692
C0060520	DB00693
C0878528	DB00693
C0011015	DB00694
C0016860	DB00695
C0048176	DB00695
C0699992	DB00695
C0014710	DB00696
C0700756	DB00696
C0146011	DB00697
C0028156	DB00698
C0770666	DB00698
C1654703	DB00698
C0028008	DB00699
C0878043	DB00699
C0636067	DB00700
C0961485	DB00700
C0754187	DB00701
C0754188	DB00701
C0538727	DB00702
C0025631	DB00703
C0722061	DB00703
C0027360	DB00704
C0288165	DB00705
C0257343	DB00706
C1130428	DB00707
C0143993	DB00708
C0209738	DB00709
C0678151	DB00709
C0379199	DB00710
C0379200	DB00710
C0918019	DB00710
C0012191	DB00711
C4255961	DB00711
C0016377	DB00712
C0700848	DB00712
C0029983	DB00713
C0003596	DB00714
C0070122	DB00715
C0068483	DB00716
C0028356	DB00717
C1700737	DB00717
C0289521	DB00718
C0540694	DB00718
C0052759	DB00719
C0012081	DB00720
C0162357	DB00720
C0028460	DB00721
C0033218	DB00721
C0065374	DB00722
C2827257	DB00722
C0025681	DB00723
C0139801	DB00724
C0165032	DB00724
C4255960	DB00724
C0062923	DB00725
C3848532	DB00725
C0041056	DB00726
C4255958	DB00726
C4255959	DB00726
C0017887	DB00727
C0590705	DB00727
C0590708	DB00727
C0699224	DB00727
C0699241	DB00727
C0699246	DB00727
C1948383	DB00727
C4255955	DB00727
C4255956	DB00727
C4255957	DB00727
C0209337	DB00728
C0058365	DB00729
C0039832	DB00730
C0733600	DB00730
C4255954	DB00730
C0903898	DB00731
C0004235	DB00732
C0071808	DB00733
C0073393	DB00734
C0592071	DB00734
C4255950	DB00734
C4255951	DB00734
C4255952	DB00734
C4255953	DB00734
C0068367	DB00735
C0721922	DB00735
C0937846	DB00736
C0025039	DB00737
C4255949	DB00737
C0030863	DB00738
C0062587	DB00739
C0073379	DB00740
C0020268	DB00741
C4255947	DB00741
C4255948	DB00741
C0024730	DB00742
C0699451	DB00742
C4255946	DB00742
C0246154	DB00743
C1875994	DB00743
C0081408	DB00744
C0724508	DB00744
C4255945	DB00744
C0066677	DB00745
C0011145	DB00746
C0036442	DB00747
C0036444	DB00747
C0054672	DB00748
C4255944	DB00748
C0059865	DB00749
C0033124	DB00750
C0078442	DB00751
C4255943	DB00751
C0040636	DB00752
C0040778	DB00752
C0022180	DB00753
C0015046	DB00754
C0098350	DB00754
C0040845	DB00755
C0593762	DB00755
C0595126	DB00755
C0723021	DB00755
C1170612	DB00755
C1515230	DB00755
C1520054	DB00755
C1520057	DB00755
C1964452	DB00755
C4255940	DB00755
C4255941	DB00755
C0019435	DB00756
C0209210	DB00757
C0070166	DB00758
C4255919	DB00758
C0039644	DB00759
C0740484	DB00759
C1702550	DB00759
C3710841	DB00759
C4255917	DB00759
C4255918	DB00759
C0066005	DB00760
C1881787	DB00760
C4082280	DB00760
C4255915	DB00760
C4255916	DB00760
C0032825	DB00761
C0306555	DB00761
C0721217	DB00761
C0721242	DB00761
C4255914	DB00761
C0123931	DB00762
C4255913	DB00762
C4317169	DB00762
C0025644	DB00763
C0728778	DB00763
C0729102	DB00763
C1564339	DB00763
C4255911	DB00763
C4255912	DB00763
C0360564	DB00764
C0886584	DB00765
